district,tehsil,locale,sex,age_group,total_pop,illiterate,literate_total,literate_formal,literate_non_or_informal,literacy_ratio
BANNU DISTRICT,DOMEL TEHSIL,Rural,Male,65  --  69,1484,758,726,644,82,48.92
BANNU DISTRICT,DOMEL TEHSIL,Rural,Male,70  --  74,1017,616,401,346,55,39.43
BANNU DISTRICT,DOMEL TEHSIL,Rural,Male,75 AND ABOVE,1356,880,476,400,76,35.1
BANNU DISTRICT,DOMEL TEHSIL,Rural,Female,10  --  14,12987,8359,4628,4182,446,35.64
BANNU DISTRICT,DOMEL TEHSIL,Rural,Female,15  --  19,10980,7876,3104,2634,470,28.27
BANNU DISTRICT,DOMEL TEHSIL,Rural,Female,20  --  24,9446,7403,2043,1606,437,21.63
BANNU DISTRICT,DOMEL TEHSIL,Rural,Female,25  --  29,8147,6631,1516,1152,364,18.61
BANNU DISTRICT,DOMEL TEHSIL,Rural,Female,30  --  34,5744,4823,921,647,274,16.03
BANNU DISTRICT,DOMEL TEHSIL,Rural,Female,35  --  39,4351,3753,598,380,218,13.74
BANNU DISTRICT,DOMEL TEHSIL,Rural,Female,40  --  44,4202,3755,447,248,199,10.64
BANNU DISTRICT,DOMEL TEHSIL,Rural,Female,45  --  49,3151,2870,281,150,131,8.92
BANNU DISTRICT,DOMEL TEHSIL,Rural,Female,50  --  54,2922,2662,260,130,130,8.9
BANNU DISTRICT,DOMEL TEHSIL,Rural,Female,55  --  59,2117,1932,185,73,112,8.74
BANNU DISTRICT,DOMEL TEHSIL,Rural,Female,60  --  64,1863,1709,154,60,94,8.27
BANNU DISTRICT,DOMEL TEHSIL,Rural,Female,65  --  69,1095,1017,78,35,43,7.12
BANNU DISTRICT,DOMEL TEHSIL,Rural,Female,70  --  74,818,760,58,19,39,7.09
BANNU DISTRICT,DOMEL TEHSIL,Rural,Female,75 AND ABOVE,1389,1290,99,38,61,7.13
BANNU DISTRICT,DOMEL TEHSIL,Rural,Transgender,10  --  14,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Rural,Transgender,15  --  19,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Rural,Transgender,20  --  24,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Rural,Transgender,25  --  29,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Rural,Transgender,30  --  34,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Rural,Transgender,35  --  39,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Rural,Transgender,40  --  44,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Rural,Transgender,45  --  49,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Rural,Transgender,50  --  54,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Rural,Transgender,55  --  59,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Rural,Transgender,60  --  64,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Rural,Transgender,65  --  69,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Rural,Transgender,70  --  74,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Rural,Transgender,75 AND ABOVE,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Male,10  --  14,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Male,15  --  19,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Male,20  --  24,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Male,25  --  29,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Male,30  --  34,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Male,35  --  39,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Male,40  --  44,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Male,45  --  49,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Male,50  --  54,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Male,55  --  59,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Male,60  --  64,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Male,65  --  69,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Male,70  --  74,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Male,75 AND ABOVE,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Female,10  --  14,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Female,15  --  19,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Female,20  --  24,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Female,25  --  29,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Female,30  --  34,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Female,35  --  39,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Female,40  --  44,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Female,45  --  49,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Female,50  --  54,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Female,55  --  59,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Female,60  --  64,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Female,65  --  69,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Female,70  --  74,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Female,75 AND ABOVE,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Transgender,10  --  14,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Transgender,15  --  19,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Transgender,20  --  24,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Transgender,25  --  29,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Transgender,30  --  34,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Transgender,35  --  39,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Transgender,40  --  44,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Transgender,45  --  49,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Transgender,50  --  54,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Transgender,55  --  59,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Transgender,60  --  64,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Transgender,65  --  69,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Transgender,70  --  74,,,,,,
BANNU DISTRICT,DOMEL TEHSIL,Urban,Transgender,75 AND ABOVE,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Male,10  --  14,33610,4953,28657,28597,60,85.26000000000001
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Male,15  --  19,27897,4093,23804,23753,51,85.33
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Male,20  --  24,20562,4077,16485,16377,108,80.17
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Male,25  --  29,17339,4503,12836,12738,98,74.03
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Male,30  --  34,13278,3924,9354,9281,73,70.45
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Male,35  --  39,10433,3242,7191,7114,77,68.93000000000001
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Male,40  --  44,9339,3950,5389,5316,73,57.7
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Male,45  --  49,8166,4434,3732,3664,68,45.7
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Male,50  --  54,7735,4406,3329,3258,71,43.04
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Male,55  --  59,6447,3800,2647,2598,49,41.06
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Male,60  --  64,5825,3814,2011,1935,76,34.52
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Male,65  --  69,3907,2803,1104,1064,40,28.26
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Male,70  --  74,2624,1924,700,664,36,26.68
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Male,75 AND ABOVE,3127,2474,653,612,41,20.88
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Female,10  --  14,29846,17785,12061,11918,143,40.41
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Female,15  --  19,26955,18453,8502,8318,184,31.54
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Female,20  --  24,22492,17427,5065,4856,209,22.52
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Female,25  --  29,21118,17659,3459,3245,214,16.38
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Female,30  --  34,15384,13343,2041,1897,144,13.27
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Female,35  --  39,11637,10626,1011,899,112,8.69
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Female,40  --  44,10590,9993,597,511,86,5.64
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Female,45  --  49,8856,8524,332,267,65,3.75
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Female,50  --  54,7490,7277,213,171,42,2.84
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Female,55  --  59,5811,5668,143,107,36,2.46
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Female,60  --  64,5165,5045,120,76,44,2.32
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Female,65  --  69,3291,3214,77,56,21,2.34
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Female,70  --  74,2172,2134,38,24,14,1.75
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Female,75 AND ABOVE,3237,3150,87,54,33,2.69
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Transgender,10  --  14,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Transgender,15  --  19,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Transgender,20  --  24,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Transgender,25  --  29,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Transgender,30  --  34,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Transgender,35  --  39,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Transgender,40  --  44,3,2,1,1,,33.33
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Transgender,45  --  49,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Transgender,50  --  54,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Transgender,55  --  59,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Transgender,60  --  64,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Transgender,65  --  69,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Transgender,70  --  74,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Rural,Transgender,75 AND ABOVE,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Male,10  --  14,3684,527,3157,3147,10,85.69
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Male,15  --  19,3638,391,3247,3224,23,89.25
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Male,20  --  24,2826,435,2391,2372,19,84.61
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Male,25  --  29,2524,463,2061,2030,31,81.66
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Male,30  --  34,1921,366,1555,1542,13,80.95
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Male,35  --  39,1424,280,1144,1129,15,80.34
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Male,40  --  44,1286,320,966,946,20,75.12
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Male,45  --  49,1133,362,771,752,19,68.05
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Male,50  --  54,1085,345,740,715,25,68.2
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Male,55  --  59,805,275,530,508,22,65.84
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Male,60  --  64,718,273,445,424,21,61.98
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Male,65  --  69,454,178,276,263,13,60.79
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Male,70  --  74,293,120,173,165,8,59.04
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Male,75 AND ABOVE,352,176,176,167,9,50
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Female,10  --  14,3464,745,2719,2686,33,78.48999999999999
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Female,15  --  19,3300,850,2450,2404,46,74.23999999999999
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Female,20  --  24,2700,967,1733,1675,58,64.19
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Female,25  --  29,2400,1063,1337,1256,81,55.71
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Female,30  --  34,1870,953,917,856,61,49.04
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Female,35  --  39,1500,892,608,556,52,40.53
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Female,40  --  44,1315,918,397,326,71,30.19
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Female,45  --  49,1063,788,275,221,54,25.87
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Female,50  --  54,927,740,187,141,46,20.17
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Female,55  --  59,635,505,130,85,45,20.47
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Female,60  --  64,590,487,103,71,32,17.46
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Female,65  --  69,387,316,71,50,21,18.35
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Female,70  --  74,229,198,31,21,10,13.54
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Female,75 AND ABOVE,303,269,34,17,17,11.22
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Transgender,10  --  14,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Transgender,15  --  19,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Transgender,20  --  24,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Transgender,25  --  29,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Transgender,30  --  34,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Transgender,35  --  39,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Transgender,40  --  44,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Transgender,45  --  49,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Transgender,50  --  54,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Transgender,55  --  59,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Transgender,60  --  64,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Transgender,65  --  69,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Transgender,70  --  74,,,,,,
LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,Urban,Transgender,75 AND ABOVE,,,,,,
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,Rural,Male,10  --  14,18252,4633,13619,13577,42,74.62
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,Rural,Male,15  --  19,13960,3442,10518,10498,20,75.34
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,Rural,Male,20  --  24,9864,3231,6633,6615,18,67.23999999999999
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,Rural,Male,25  --  29,8430,3259,5171,5141,30,61.34
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,Rural,Male,30  --  34,6354,2662,3692,3663,29,58.11
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,Rural,Male,35  --  39,4970,2141,2829,2812,17,56.92
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,Rural,Male,40  --  44,4532,2245,2287,2269,18,50.46
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,Rural,Male,45  --  49,3900,2311,1589,1575,14,40.74
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,Rural,Male,50  --  54,3417,2106,1311,1293,18,38.37
LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,Rural,Male,55  --  59,2970,1918,1052,1038,14,35.42
