district,localities,head,water_type,source,owned,rented,rentfree,total,pct
ABBOTTABAD DISTRICT,Rural,Source Of Drinking Water,Outside,Electric / Hand Pump,7031,277,300,7608,4.48
ABBOTTABAD DISTRICT,Rural,Source Of Drinking Water,Outside,Protected Well,2136,24,69,2229,1.31
ABBOTTABAD DISTRICT,Rural,Source Of Drinking Water,Outside,Un-Protected Well,1505,5,42,1552,.91
ABBOTTABAD DISTRICT,Rural,Source Of Drinking Water,Outside,Spring,22928,131,706,23765,13.99
ABBOTTABAD DISTRICT,Rural,Source Of Drinking Water,Outside,Canal / River / Pond,568,21,23,612,.36
ABBOTTABAD DISTRICT,Rural,Source Of Drinking Water,Outside,Others,1498,114,102,1714,1.01
ABBOTTABAD DISTRICT,Rural,Cooking Fuel Used,,Wood,123241,1383,4176,128800,75.84
ABBOTTABAD DISTRICT,Rural,Cooking Fuel Used,,Gas,32375,6538,1134,40047,23.58
ABBOTTABAD DISTRICT,Rural,Cooking Fuel Used,,Kerosene Oil,67,17,16,100,.06
ABBOTTABAD DISTRICT,Rural,Cooking Fuel Used,,Others,663,120,95,878,.52
ABBOTTABAD DISTRICT,Rural,Source Of Lighting,,Electricity,154175,7869,4881,166925,98.29000000000001
ABBOTTABAD DISTRICT,Rural,Source Of Lighting,,Kerosene Oil,1100,79,184,1363,.8
ABBOTTABAD DISTRICT,Rural,Source Of Lighting,,Gas Lamp,129,12,24,165,.1
ABBOTTABAD DISTRICT,Rural,Source Of Lighting,,ÓThers,942,98,332,1372,.8100000000000001
ABBOTTABAD DISTRICT,Rural,Source Of Lighting,,Total,156346,8058,5421,169825,100
ABBOTTABAD DISTRICT,Rural,Source Of Lighting,,Percent,92.06,4.74,3.19,100,
ABBOTTABAD DISTRICT,Urban,Source Of Drinking Water,Inside,Tap,19926,12629,1297,33852,76.40000000000001
ABBOTTABAD DISTRICT,Urban,Source Of Drinking Water,Inside,Electric/Hand Pump,3775,2706,362,6843,15.44
ABBOTTABAD DISTRICT,Urban,Source Of Drinking Water,Inside,Protected Well,218,198,24,440,.99
ABBOTTABAD DISTRICT,Urban,Source Of Drinking Water,Inside,Un-Protected Well,27,24,3,54,.12
ABBOTTABAD DISTRICT,Urban,Source Of Drinking Water,Inside,Others,178,162,60,400,.9
ABBOTTABAD DISTRICT,Urban,Source Of Drinking Water,Outside,Tap,698,670,91,1459,3.29
ABBOTTABAD DISTRICT,Urban,Source Of Drinking Water,Outside,Electric / Hand Pump,382,277,45,704,1.59
ABBOTTABAD DISTRICT,Urban,Source Of Drinking Water,Outside,Protected Well,48,6,12,66,.15
ABBOTTABAD DISTRICT,Urban,Source Of Drinking Water,Outside,Un-Protected Well,25,,,25,.06
ABBOTTABAD DISTRICT,Urban,Source Of Drinking Water,Outside,Spring,22,24,1,47,.11
ABBOTTABAD DISTRICT,Urban,Source Of Drinking Water,Outside,Canal / River / Pond,2,8,5,15,.03
ABBOTTABAD DISTRICT,Urban,Source Of Drinking Water,Outside,Others,205,172,26,403,.91
ABBOTTABAD DISTRICT,Urban,Cooking Fuel Used,,Wood,1416,887,244,2547,5.75
ABBOTTABAD DISTRICT,Urban,Cooking Fuel Used,,Gas,23635,15666,1554,40855,92.20999999999999
ABBOTTABAD DISTRICT,Urban,Cooking Fuel Used,,Kerosene Oil,22,19,4,45,.1
ABBOTTABAD DISTRICT,Urban,Cooking Fuel Used,,Others,433,304,124,861,1.94
ABBOTTABAD DISTRICT,Urban,Source Of Lighting,,Electricity,25305,16694,1851,43850,98.97
ABBOTTABAD DISTRICT,Urban,Source Of Lighting,,Kerosene Oil,90,94,30,214,.48
ABBOTTABAD DISTRICT,Urban,Source Of Lighting,,Gas Lamp,13,7,,20,.05
ABBOTTABAD DISTRICT,Urban,Source Of Lighting,,ÓThers,98,81,45,224,.51
ABBOTTABAD DISTRICT,Urban,Source Of Lighting,,Total,25506,16876,1926,44308,100
ABBOTTABAD DISTRICT,Urban,Source Of Lighting,,Percent,57.57,38.09,4.35,100,
ATTOCK DISTRICT,All,Source Of Drinking Water,Inside,Tap,53907,18370,2666,74943,24.76
ATTOCK DISTRICT,All,Source Of Drinking Water,Inside,Electric/Hand Pump,125297,13843,4317,143457,47.4
ATTOCK DISTRICT,All,Source Of Drinking Water,Inside,Protected Well,15485,996,839,17320,5.72
ATTOCK DISTRICT,All,Source Of Drinking Water,Inside,Un-Protected Well,1836,148,273,2257,.75
ATTOCK DISTRICT,All,Source Of Drinking Water,Inside,Others,12908,1356,1512,15776,5.21
ATTOCK DISTRICT,All,Source Of Drinking Water,Outside,Tap,5085,1048,831,6964,2.3
ATTOCK DISTRICT,All,Source Of Drinking Water,Outside,Electric / Hand Pump,14244,1989,1700,17933,5.92
ATTOCK DISTRICT,All,Source Of Drinking Water,Outside,Protected Well,5677,288,547,6512,2.15
ATTOCK DISTRICT,All,Source Of Drinking Water,Outside,Un-Protected Well,4006,102,512,4620,1.53
ATTOCK DISTRICT,All,Source Of Drinking Water,Outside,Spring,1165,63,204,1432,.47
ATTOCK DISTRICT,All,Source Of Drinking Water,Outside,Canal / River / Pond,1057,21,109,1187,.39
ATTOCK DISTRICT,All,Source Of Drinking Water,Outside,Others,8138,1131,1011,10280,3.4
ATTOCK DISTRICT,All,Cooking Fuel Used,,Wood,141083,6279,9593,156955,51.85
ATTOCK DISTRICT,All,Cooking Fuel Used,,Gas,103165,30739,4100,138004,45.59
ATTOCK DISTRICT,All,Cooking Fuel Used,,Kerosene Oil,222,57,22,301,.1
ATTOCK DISTRICT,All,Cooking Fuel Used,,Others,4335,2280,806,7421,2.45
ATTOCK DISTRICT,All,Source Of Lighting,,Electricity,237938,38484,11836,288258,95.23
ATTOCK DISTRICT,All,Source Of Lighting,,Kerosene Oil,4182,243,886,5311,1.75
ATTOCK DISTRICT,All,Source Of Lighting,,Gas Lamp,97,41,51,189,.06
ATTOCK DISTRICT,All,Source Of Lighting,,ÓThers,6588,587,1748,8923,2.95
ATTOCK DISTRICT,All,Source Of Lighting,,Total,248805,39355,14521,302681,100
ATTOCK DISTRICT,All,Source Of Lighting,,Percent,82.2,13,4.8,100,
ATTOCK DISTRICT,Rural,Source Of Drinking Water,Inside,Tap,38561,2476,1705,42742,18.95
ATTOCK DISTRICT,Rural,Source Of Drinking Water,Inside,Electric/Hand Pump,99427,5319,3286,108032,47.89
ATTOCK DISTRICT,Rural,Source Of Drinking Water,Inside,Protected Well,14857,808,772,16437,7.29
ATTOCK DISTRICT,Rural,Source Of Drinking Water,Inside,Un-Protected Well,1766,101,240,2107,.93
ATTOCK DISTRICT,Rural,Source Of Drinking Water,Inside,Others,11635,652,1167,13454,5.96
ATTOCK DISTRICT,Rural,Source Of Drinking Water,Outside,Tap,4011,241,715,4967,2.2
ATTOCK DISTRICT,Rural,Source Of Drinking Water,Outside,Electric / Hand Pump,13614,772,1587,15973,7.08
ATTOCK DISTRICT,Rural,Source Of Drinking Water,Outside,Protected Well,5557,230,497,6284,2.79
ATTOCK DISTRICT,Rural,Source Of Drinking Water,Outside,Un-Protected Well,3893,78,446,4417,1.96
ATTOCK DISTRICT,Rural,Source Of Drinking Water,Outside,Spring,1150,56,195,1401,.62
ATTOCK DISTRICT,Rural,Source Of Drinking Water,Outside,Canal / River / Pond,1046,19,102,1167,.52
ATTOCK DISTRICT,Rural,Source Of Drinking Water,Outside,Others,7482,314,827,8623,3.82
ATTOCK DISTRICT,Rural,Cooking Fuel Used,,Wood,135484,4473,8809,148766,65.94
ATTOCK DISTRICT,Rural,Cooking Fuel Used,,Gas,64617,6045,2164,72826,32.28
ATTOCK DISTRICT,Rural,Cooking Fuel Used,,Kerosene Oil,186,28,17,231,.1
ATTOCK DISTRICT,Rural,Cooking Fuel Used,,Others,2712,520,549,3781,1.68
ATTOCK DISTRICT,Rural,Source Of Lighting,,Electricity,192893,10430,9212,212535,94.20999999999999
ATTOCK DISTRICT,Rural,Source Of Lighting,,Kerosene Oil,3919,146,850,4915,2.18
ATTOCK DISTRICT,Rural,Source Of Lighting,,Gas Lamp,84,33,46,163,.07
ATTOCK DISTRICT,Rural,Source Of Lighting,,ÓThers,6103,457,1431,7991,3.54
ATTOCK DISTRICT,Rural,Source Of Lighting,,Total,202999,11066,11539,225604,100
ATTOCK DISTRICT,Rural,Source Of Lighting,,Percent,89.98,4.91,5.11,100,
ATTOCK DISTRICT,Urban,Source Of Drinking Water,Inside,Tap,15346,15894,961,32201,41.78
ATTOCK DISTRICT,Urban,Source Of Drinking Water,Inside,Electric/Hand Pump,25870,8524,1031,35425,45.96
ATTOCK DISTRICT,Urban,Source Of Drinking Water,Inside,Protected Well,628,188,67,883,1.15
ATTOCK DISTRICT,Urban,Source Of Drinking Water,Inside,Un-Protected Well,70,47,33,150,.19
ATTOCK DISTRICT,Urban,Source Of Drinking Water,Inside,Others,1273,704,345,2322,3.01
ATTOCK DISTRICT,Urban,Source Of Drinking Water,Outside,Tap,1074,807,116,1997,2.59
ATTOCK DISTRICT,Urban,Source Of Drinking Water,Outside,Electric / Hand Pump,630,1217,113,1960,2.54
ATTOCK DISTRICT,Urban,Source Of Drinking Water,Outside,Protected Well,120,58,50,228,.3
ATTOCK DISTRICT,Urban,Source Of Drinking Water,Outside,Un-Protected Well,113,24,66,203,.26
ATTOCK DISTRICT,Urban,Source Of Drinking Water,Outside,Spring,15,7,9,31,.04
ATTOCK DISTRICT,Urban,Source Of Drinking Water,Outside,Canal / River / Pond,11,2,7,20,.03
ATTOCK DISTRICT,Urban,Source Of Drinking Water,Outside,Others,656,817,184,1657,2.15
ATTOCK DISTRICT,Urban,Cooking Fuel Used,,Wood,5599,1806,784,8189,10.62
ATTOCK DISTRICT,Urban,Cooking Fuel Used,,Gas,38548,24694,1936,65178,84.56
ATTOCK DISTRICT,Urban,Cooking Fuel Used,,Kerosene Oil,36,29,5,70,.09
ATTOCK DISTRICT,Urban,Cooking Fuel Used,,Others,1623,1760,257,3640,4.72
ATTOCK DISTRICT,Urban,Source Of Lighting,,Electricity,45045,28054,2624,75723,98.23999999999999
ATTOCK DISTRICT,Urban,Source Of Lighting,,Kerosene Oil,263,97,36,396,.51
ATTOCK DISTRICT,Urban,Source Of Lighting,,Gas Lamp,13,8,5,26,.03
ATTOCK DISTRICT,Urban,Source Of Lighting,,ÓThers,485,130,317,932,1.21
ATTOCK DISTRICT,Urban,Source Of Lighting,,Total,45806,28289,2982,77077,100
ATTOCK DISTRICT,Urban,Source Of Lighting,,Percent,59.43,36.7,3.87,100,
AWARAN DISTRICT,All,Source Of Drinking Water,Inside,Tap,1840,39,14,1893,10.46
AWARAN DISTRICT,All,Source Of Drinking Water,Inside,Electric/Hand Pump,691,10,5,706,3.9
AWARAN DISTRICT,All,Source Of Drinking Water,Inside,Protected Well,3840,15,19,3874,21.4
AWARAN DISTRICT,All,Source Of Drinking Water,Inside,Un-Protected Well,1625,4,4,1633,9.02
AWARAN DISTRICT,All,Source Of Drinking Water,Inside,Others,2308,10,5,2323,12.83
AWARAN DISTRICT,All,Source Of Drinking Water,Outside,Tap,834,1,6,841,4.64
AWARAN DISTRICT,All,Source Of Drinking Water,Outside,Electric / Hand Pump,351,3,1,355,1.96
AWARAN DISTRICT,All,Source Of Drinking Water,Outside,Protected Well,1231,2,4,1237,6.83
AWARAN DISTRICT,All,Source Of Drinking Water,Outside,Un-Protected Well,1994,1,1,1996,11.02
AWARAN DISTRICT,All,Source Of Drinking Water,Outside,Spring,590,,2,592,3.27
AWARAN DISTRICT,All,Source Of Drinking Water,Outside,Canal / River / Pond,222,1,,223,1.23
AWARAN DISTRICT,All,Source Of Drinking Water,Outside,Others,2419,6,8,2433,13.44
AWARAN DISTRICT,All,Cooking Fuel Used,,Wood,17165,88,63,17316,95.64
AWARAN DISTRICT,All,Cooking Fuel Used,,Gas,46,2,,48,.27
AWARAN DISTRICT,All,Cooking Fuel Used,,Kerosene Oil,86,,,86,.47
AWARAN DISTRICT,All,Cooking Fuel Used,,Others,648,2,6,656,3.62
AWARAN DISTRICT,All,Source Of Lighting,,Electricity,2809,67,33,2909,16.07
AWARAN DISTRICT,All,Source Of Lighting,,Kerosene Oil,1403,3,1,1407,7.77
AWARAN DISTRICT,All,Source Of Lighting,,Gas Lamp,114,,1,115,.64
AWARAN DISTRICT,All,Source Of Lighting,,ÓThers,13619,22,34,13675,75.53
AWARAN DISTRICT,All,Source Of Lighting,,Total,17945,92,69,18106,100
AWARAN DISTRICT,All,Source Of Lighting,,Percent,99.11,.51,.38,100,
AWARAN DISTRICT,Rural,Source Of Drinking Water,Inside,Tap,1094,2,3,1099,7.89
AWARAN DISTRICT,Rural,Source Of Drinking Water,Inside,Electric/Hand Pump,383,2,,385,2.77
AWARAN DISTRICT,Rural,Source Of Drinking Water,Inside,Protected Well,2647,3,7,2657,19.08
AWARAN DISTRICT,Rural,Source Of Drinking Water,Inside,Un-Protected Well,1328,1,1,1330,9.550000000000001
AWARAN DISTRICT,Rural,Source Of Drinking Water,Inside,Others,1658,2,3,1663,11.95
AWARAN DISTRICT,Rural,Source Of Drinking Water,Outside,Tap,798,,4,802,5.76
AWARAN DISTRICT,Rural,Source Of Drinking Water,Outside,Electric / Hand Pump,321,3,,324,2.33
AWARAN DISTRICT,Rural,Source Of Drinking Water,Outside,Protected Well,926,2,,928,6.67
AWARAN DISTRICT,Rural,Source Of Drinking Water,Outside,Un-Protected Well,1839,1,1,1841,13.22
AWARAN DISTRICT,Rural,Source Of Drinking Water,Outside,Spring,571,,1,572,4.11
AWARAN DISTRICT,Rural,Source Of Drinking Water,Outside,Canal / River / Pond,209,1,,210,1.51
AWARAN DISTRICT,Rural,Source Of Drinking Water,Outside,Others,2101,4,6,2111,15.16
AWARAN DISTRICT,Rural,Cooking Fuel Used,,Wood,13141,20,24,13185,94.70999999999999
AWARAN DISTRICT,Rural,Cooking Fuel Used,,Gas,40,,,40,.29
AWARAN DISTRICT,Rural,Cooking Fuel Used,,Kerosene Oil,82,,,82,.59
AWARAN DISTRICT,Rural,Cooking Fuel Used,,Others,612,1,2,615,4.42
AWARAN DISTRICT,Rural,Source Of Lighting,,Electricity,825,5,2,832,5.98
AWARAN DISTRICT,Rural,Source Of Lighting,,Kerosene Oil,1252,1,,1253,9
AWARAN DISTRICT,Rural,Source Of Lighting,,Gas Lamp,99,,,99,.71
AWARAN DISTRICT,Rural,Source Of Lighting,,ÓThers,11699,15,24,11738,84.31
AWARAN DISTRICT,Rural,Source Of Lighting,,Total,13875,21,26,13922,100
AWARAN DISTRICT,Rural,Source Of Lighting,,Percent,99.66,.15,.19,100,
AWARAN DISTRICT,Urban,Source Of Drinking Water,Inside,Tap,746,37,11,794,18.98
AWARAN DISTRICT,Urban,Source Of Drinking Water,Inside,Electric/Hand Pump,308,8,5,321,7.67
AWARAN DISTRICT,Urban,Source Of Drinking Water,Inside,Protected Well,1193,12,12,1217,29.09
AWARAN DISTRICT,Urban,Source Of Drinking Water,Inside,Un-Protected Well,297,3,3,303,7.24
AWARAN DISTRICT,Urban,Source Of Drinking Water,Inside,Others,650,8,2,660,15.77
AWARAN DISTRICT,Urban,Source Of Drinking Water,Outside,Tap,36,1,2,39,.93
AWARAN DISTRICT,Urban,Source Of Drinking Water,Outside,Electric / Hand Pump,30,,1,31,.74
AWARAN DISTRICT,Urban,Source Of Drinking Water,Outside,Protected Well,305,,4,309,7.39
AWARAN DISTRICT,Urban,Source Of Drinking Water,Outside,Un-Protected Well,155,,,155,3.7
AWARAN DISTRICT,Urban,Source Of Drinking Water,Outside,Spring,19,,1,20,.48
AWARAN DISTRICT,Urban,Source Of Drinking Water,Outside,Canal / River / Pond,13,,,13,.31
AWARAN DISTRICT,Urban,Source Of Drinking Water,Outside,Others,318,2,2,322,7.7
AWARAN DISTRICT,Urban,Cooking Fuel Used,,Wood,4024,68,39,4131,98.73
AWARAN DISTRICT,Urban,Cooking Fuel Used,,Gas,6,2,,8,.19
AWARAN DISTRICT,Urban,Cooking Fuel Used,,Kerosene Oil,4,,,4,.1
AWARAN DISTRICT,Urban,Cooking Fuel Used,,Others,36,1,4,41,.98
AWARAN DISTRICT,Urban,Source Of Lighting,,Electricity,1984,62,31,2077,49.64
AWARAN DISTRICT,Urban,Source Of Lighting,,Kerosene Oil,151,2,1,154,3.68
AWARAN DISTRICT,Urban,Source Of Lighting,,Gas Lamp,15,,1,16,.38
AWARAN DISTRICT,Urban,Source Of Lighting,,ÓThers,1920,7,10,1937,46.3
AWARAN DISTRICT,Urban,Source Of Lighting,,Total,4070,71,43,4184,100
AWARAN DISTRICT,Urban,Source Of Lighting,,Percent,97.28,1.7,1.03,100,
BADIN DISTRICT,All,Source Of Drinking Water,Inside,Tap,94636,2295,6116,103047,28.83
BADIN DISTRICT,All,Source Of Drinking Water,Inside,Electric/Hand Pump,99274,1804,7564,108642,30.4
BADIN DISTRICT,All,Source Of Drinking Water,Inside,Protected Well,3050,45,379,3474,.97
BADIN DISTRICT,All,Source Of Drinking Water,Inside,Un-Protected Well,11208,89,1410,12707,3.56
BADIN DISTRICT,All,Source Of Drinking Water,Inside,Others,35716,346,5062,41124,11.51
BADIN DISTRICT,All,Source Of Drinking Water,Outside,Tap,19797,211,1887,21895,6.13
BADIN DISTRICT,All,Source Of Drinking Water,Outside,Electric / Hand Pump,27598,176,4297,32071,8.970000000000001
BADIN DISTRICT,All,Source Of Drinking Water,Outside,Protected Well,1266,29,92,1387,.39
BADIN DISTRICT,All,Source Of Drinking Water,Outside,Un-Protected Well,2985,11,183,3179,.89
BADIN DISTRICT,All,Source Of Drinking Water,Outside,Spring,312,6,93,411,.11
BADIN DISTRICT,All,Source Of Drinking Water,Outside,Canal / River / Pond,16600,107,3018,19725,5.52
BADIN DISTRICT,All,Source Of Drinking Water,Outside,Others,8270,77,1393,9740,2.73
BADIN DISTRICT,All,Cooking Fuel Used,,Wood,269528,1824,28177,299529,83.81
BADIN DISTRICT,All,Cooking Fuel Used,,Gas,41537,3148,1474,46159,12.92
BADIN DISTRICT,All,Cooking Fuel Used,,Kerosene Oil,1605,48,297,1950,.55
BADIN DISTRICT,All,Cooking Fuel Used,,Others,8042,176,1546,9764,2.73
BADIN DISTRICT,All,Source Of Lighting,,Electricity,172965,4119,7761,184845,51.72
BADIN DISTRICT,All,Source Of Lighting,,Kerosene Oil,49658,506,5531,55695,15.58
BADIN DISTRICT,All,Source Of Lighting,,Gas Lamp,1638,17,148,1803,.5
BADIN DISTRICT,All,Source Of Lighting,,ÓThers,96451,554,18054,115059,32.19
BADIN DISTRICT,All,Source Of Lighting,,Total,320712,5196,31494,357402,100
BADIN DISTRICT,All,Source Of Lighting,,Percent,89.73,1.45,8.81,100,
BADIN DISTRICT,Rural,Source Of Drinking Water,Inside,Tap,65906,310,4661,70877,25.2
BADIN DISTRICT,Rural,Source Of Drinking Water,Inside,Electric/Hand Pump,74332,438,6281,81051,28.82
BADIN DISTRICT,Rural,Source Of Drinking Water,Inside,Protected Well,2579,27,372,2978,1.06
BADIN DISTRICT,Rural,Source Of Drinking Water,Inside,Un-Protected Well,10597,80,1350,12027,4.28
BADIN DISTRICT,Rural,Source Of Drinking Water,Inside,Others,31141,138,4611,35890,12.76
BADIN DISTRICT,Rural,Source Of Drinking Water,Outside,Tap,16974,95,1647,18716,6.66
BADIN DISTRICT,Rural,Source Of Drinking Water,Outside,Electric / Hand Pump,25225,95,4198,29518,10.5
BADIN DISTRICT,Rural,Source Of Drinking Water,Outside,Protected Well,939,2,75,1016,.36
BADIN DISTRICT,Rural,Source Of Drinking Water,Outside,Un-Protected Well,2876,10,147,3033,1.08
BADIN DISTRICT,Rural,Source Of Drinking Water,Outside,Spring,239,1,59,299,.11
BADIN DISTRICT,Rural,Source Of Drinking Water,Outside,Canal / River / Pond,14592,57,2872,17521,6.23
BADIN DISTRICT,Rural,Source Of Drinking Water,Outside,Others,6936,27,1317,8280,2.94
BADIN DISTRICT,Rural,Cooking Fuel Used,,Wood,234241,1053,25643,260937,92.79000000000001
BADIN DISTRICT,Rural,Cooking Fuel Used,,Gas,10262,142,282,10686,3.8
BADIN DISTRICT,Rural,Cooking Fuel Used,,Kerosene Oil,1200,25,254,1479,.53
BADIN DISTRICT,Rural,Cooking Fuel Used,,Others,6633,60,1411,8104,2.88
BADIN DISTRICT,Rural,Source Of Lighting,,Electricity,121356,530,5593,127479,45.33
BADIN DISTRICT,Rural,Source Of Lighting,,Kerosene Oil,43498,357,4911,48766,17.34
BADIN DISTRICT,Rural,Source Of Lighting,,Gas Lamp,999,8,123,1130,.4
BADIN DISTRICT,Rural,Source Of Lighting,,ÓThers,86483,385,16963,103831,36.92
BADIN DISTRICT,Rural,Source Of Lighting,,Total,252336,1280,27590,281206,100
BADIN DISTRICT,Rural,Source Of Lighting,,Percent,89.73,.46,9.81,100,
BADIN DISTRICT,Urban,Source Of Drinking Water,Inside,Tap,28730,1985,1455,32170,42.22
BADIN DISTRICT,Urban,Source Of Drinking Water,Inside,Electric/Hand Pump,24942,1366,1283,27591,36.21
BADIN DISTRICT,Urban,Source Of Drinking Water,Inside,Protected Well,471,18,7,496,.65
BADIN DISTRICT,Urban,Source Of Drinking Water,Inside,Un-Protected Well,611,9,60,680,.89
BADIN DISTRICT,Urban,Source Of Drinking Water,Inside,Others,4575,208,451,5234,6.87
BADIN DISTRICT,Urban,Source Of Drinking Water,Outside,Tap,2823,116,240,3179,4.17
BADIN DISTRICT,Urban,Source Of Drinking Water,Outside,Electric / Hand Pump,2373,81,99,2553,3.35
BADIN DISTRICT,Urban,Source Of Drinking Water,Outside,Protected Well,327,27,17,371,.49
BADIN DISTRICT,Urban,Source Of Drinking Water,Outside,Un-Protected Well,109,1,36,146,.19
BADIN DISTRICT,Urban,Source Of Drinking Water,Outside,Spring,73,5,34,112,.15
BADIN DISTRICT,Urban,Source Of Drinking Water,Outside,Canal / River / Pond,2008,50,146,2204,2.89
BADIN DISTRICT,Urban,Source Of Drinking Water,Outside,Others,1334,50,76,1460,1.92
BADIN DISTRICT,Urban,Cooking Fuel Used,,Wood,35287,771,2534,38592,50.65
BADIN DISTRICT,Urban,Cooking Fuel Used,,Gas,31275,3006,1192,35473,46.55
BADIN DISTRICT,Urban,Cooking Fuel Used,,Kerosene Oil,405,23,43,471,.62
BADIN DISTRICT,Urban,Cooking Fuel Used,,Others,1409,116,135,1660,2.18
BADIN DISTRICT,Urban,Source Of Lighting,,Electricity,51609,3589,2168,57366,75.29000000000001
BADIN DISTRICT,Urban,Source Of Lighting,,Kerosene Oil,6160,149,620,6929,9.09
BADIN DISTRICT,Urban,Source Of Lighting,,Gas Lamp,639,9,25,673,.88
BADIN DISTRICT,Urban,Source Of Lighting,,ÓThers,9968,169,1091,11228,14.74
BADIN DISTRICT,Urban,Source Of Lighting,,Total,68376,3916,3904,76196,100
BADIN DISTRICT,Urban,Source Of Lighting,,Percent,89.73999999999999,5.14,5.12,100,
BAHAWALNAGAR DISTRICT,All,Source Of Drinking Water,Inside,Tap,143561,6935,14643,165139,34.43
BAHAWALNAGAR DISTRICT,All,Source Of Drinking Water,Inside,Electric/Hand Pump,205389,11339,17220,233948,48.78
BAHAWALNAGAR DISTRICT,All,Source Of Drinking Water,Inside,Protected Well,516,39,106,661,.14
BAHAWALNAGAR DISTRICT,All,Source Of Drinking Water,Inside,Un-Protected Well,848,19,164,1031,.21
BAHAWALNAGAR DISTRICT,All,Source Of Drinking Water,Inside,Others,18106,604,3734,22444,4.68
BAHAWALNAGAR DISTRICT,All,Source Of Drinking Water,Outside,Tap,15670,435,2484,18589,3.88
BAHAWALNAGAR DISTRICT,All,Source Of Drinking Water,Outside,Electric / Hand Pump,14540,467,2290,17297,3.61
BAHAWALNAGAR DISTRICT,All,Source Of Drinking Water,Outside,Protected Well,88,5,15,108,.02
BAHAWALNAGAR DISTRICT,All,Source Of Drinking Water,Outside,Un-Protected Well,827,3,45,875,.18
BAHAWALNAGAR DISTRICT,All,Source Of Drinking Water,Outside,Spring,106,6,32,144,.03
BAHAWALNAGAR DISTRICT,All,Source Of Drinking Water,Outside,Canal / River / Pond,4827,76,755,5658,1.18
BAHAWALNAGAR DISTRICT,All,Source Of Drinking Water,Outside,Others,11234,765,1738,13737,2.86
BAHAWALNAGAR DISTRICT,All,Cooking Fuel Used,,Wood,366182,12439,39024,417645,87.08
BAHAWALNAGAR DISTRICT,All,Cooking Fuel Used,,Gas,34634,7205,1398,43237,9.01
BAHAWALNAGAR DISTRICT,All,Cooking Fuel Used,,Kerosene Oil,283,15,59,357,.07
BAHAWALNAGAR DISTRICT,All,Cooking Fuel Used,,Others,14613,1034,2745,18392,3.83
BAHAWALNAGAR DISTRICT,All,Source Of Lighting,,Electricity,379511,20076,33816,433403,90.36
