district,tehsil,locale,sex,total_pop,urdu,punjabi,sindhi,pushto,balochi,kashmiri,saraiki,hindko,brahvi,others
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,RURAL,FEMALE,148834,476,74,58,47194,53,15,100886,4,60,14
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,RURAL,TRANSGENDER,18,,,,7,,,10,,1,
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,URBAN,ALL SEXES,77566,2579,75,12,31908,11,7,42925,,46,3
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,URBAN,MALE,40040,1309,41,9,16467,7,6,22177,,23,1
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,URBAN,FEMALE,37521,1270,34,3,15439,4,1,20745,,23,2
DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,URBAN,TRANSGENDER,5,,,,2,,,3,,,
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,OVERALL,ALL SEXES,292343,919,925,115,80473,122,17,209413,33,253,73
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,OVERALL,MALE,150951,495,569,57,41259,75,5,108264,25,136,66
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,OVERALL,FEMALE,141383,424,356,58,39212,47,12,101142,8,117,7
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,OVERALL,TRANSGENDER,9,,,,2,,,7,,,
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,RURAL,ALL SEXES,252462,768,813,55,75313,116,13,175041,28,245,70
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,RURAL,MALE,130064,415,501,31,38680,71,4,90148,21,130,63
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,RURAL,FEMALE,122390,353,312,24,36631,45,9,84887,7,115,7
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,RURAL,TRANSGENDER,8,,,,2,,,6,,,
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,URBAN,ALL SEXES,39881,151,112,60,5160,6,4,34372,5,8,3
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,URBAN,MALE,20887,80,68,26,2579,4,1,18116,4,6,3
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,URBAN,FEMALE,18993,71,44,34,2581,2,3,16255,1,2,
DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,URBAN,TRANSGENDER,1,,,,,,,1,,,
TANK DISTRICT,TANK DISTRICT,OVERALL,ALL SEXES,390626,2109,656,607,319824,867,283,62705,2914,474,187
TANK DISTRICT,TANK DISTRICT,OVERALL,MALE,200100,1129,466,315,163698,393,142,32023,1588,250,96
TANK DISTRICT,TANK DISTRICT,OVERALL,FEMALE,190499,972,190,292,156110,474,141,30679,1326,224,91
TANK DISTRICT,TANK DISTRICT,OVERALL,TRANSGENDER,27,8,,,16,,,3,,,
TANK DISTRICT,TANK DISTRICT,RURAL,ALL SEXES,343562,1865,239,588,285067,838,245,51302,2900,369,149
TANK DISTRICT,TANK DISTRICT,RURAL,MALE,175264,983,167,309,145252,381,124,26202,1577,194,75
TANK DISTRICT,TANK DISTRICT,RURAL,FEMALE,168273,874,72,279,139800,457,121,25098,1323,175,74
TANK DISTRICT,TANK DISTRICT,RURAL,TRANSGENDER,25,8,,,15,,,2,,,
TANK DISTRICT,TANK DISTRICT,URBAN,ALL SEXES,47064,244,417,19,34757,29,38,11403,14,105,38
TANK DISTRICT,TANK DISTRICT,URBAN,MALE,24836,146,299,6,18446,12,18,5821,11,56,21
TANK DISTRICT,TANK DISTRICT,URBAN,FEMALE,22226,98,118,13,16310,17,20,5581,3,49,17
TANK DISTRICT,TANK DISTRICT,URBAN,TRANSGENDER,2,,,,1,,,1,,,
TANK DISTRICT,TANK TEHSIL,OVERALL,ALL SEXES,390626,2109,656,607,319824,867,283,62705,2914,474,187
TANK DISTRICT,TANK TEHSIL,OVERALL,MALE,200100,1129,466,315,163698,393,142,32023,1588,250,96
TANK DISTRICT,TANK TEHSIL,OVERALL,FEMALE,190499,972,190,292,156110,474,141,30679,1326,224,91
TANK DISTRICT,TANK TEHSIL,OVERALL,TRANSGENDER,27,8,,,16,,,3,,,
TANK DISTRICT,TANK TEHSIL,RURAL,ALL SEXES,343562,1865,239,588,285067,838,245,51302,2900,369,149
TANK DISTRICT,TANK TEHSIL,RURAL,MALE,175264,983,167,309,145252,381,124,26202,1577,194,75
TANK DISTRICT,TANK TEHSIL,RURAL,FEMALE,168273,874,72,279,139800,457,121,25098,1323,175,74
TANK DISTRICT,TANK TEHSIL,RURAL,TRANSGENDER,25,8,,,15,,,2,,,
TANK DISTRICT,TANK TEHSIL,URBAN,ALL SEXES,47064,244,417,19,34757,29,38,11403,14,105,38
TANK DISTRICT,TANK TEHSIL,URBAN,MALE,24836,146,299,6,18446,12,18,5821,11,56,21
TANK DISTRICT,TANK TEHSIL,URBAN,FEMALE,22226,98,118,13,16310,17,20,5581,3,49,17
TANK DISTRICT,TANK TEHSIL,URBAN,TRANSGENDER,2,,,,1,,,1,,,
ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,OVERALL,ALL SEXES,1333089,33069,16278,2896,79647,2516,7069,2028,1154259,9916,25411
ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,OVERALL,MALE,677857,17403,10560,1734,43642,1391,3592,1296,579126,4969,14144
ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,OVERALL,FEMALE,655196,15663,5717,1162,36002,1125,3477,730,575106,4947,11267
ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,OVERALL,TRANSGENDER,36,3,1,,3,,,2,27,,
ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,RURAL,ALL SEXES,1039104,15445,3010,1096,37380,1811,5094,511,947853,7573,19331
ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,RURAL,MALE,522592,7958,1650,552,20117,943,2527,322,474265,3827,10431
ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,RURAL,FEMALE,516494,7484,1360,544,17263,868,2567,187,473575,3746,8900
ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,RURAL,TRANSGENDER,18,3,,,,,,2,13,,
ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,URBAN,ALL SEXES,293985,17624,13268,1800,42267,705,1975,1517,206406,2343,6080
ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,URBAN,MALE,155265,9445,8910,1182,23525,448,1065,974,104861,1142,3713
ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,URBAN,FEMALE,138702,8179,4357,618,18739,257,910,543,101531,1201,2367
ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,URBAN,TRANSGENDER,18,,1,,3,,,,14,,
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,OVERALL,ALL SEXES,982837,29996,14037,2083,73445,1917,5473,1592,825827,7005,21462
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,OVERALL,MALE,502980,15819,9305,1302,40309,1083,2818,1015,415757,3504,12068
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,OVERALL,FEMALE,479821,14174,4731,781,33133,834,2655,575,410043,3501,9394
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,OVERALL,TRANSGENDER,36,3,1,,3,,,2,27,,
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,RURAL,ALL SEXES,737167,13704,2223,578,35143,1323,3820,338,659450,4918,15670
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,RURAL,MALE,372331,7085,1255,291,18902,691,1918,205,330958,2495,8531
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,RURAL,FEMALE,364818,6616,968,287,16241,632,1902,131,328479,2423,7139
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,RURAL,TRANSGENDER,18,3,,,,,,2,13,,
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,URBAN,ALL SEXES,245670,16292,11814,1505,38302,594,1653,1254,166377,2087,5792
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,URBAN,MALE,130649,8734,8050,1011,21407,392,900,810,84799,1009,3537
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,URBAN,FEMALE,115003,7558,3763,494,16892,202,753,444,81564,1078,2255
ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,URBAN,TRANSGENDER,18,,1,,3,,,,14,,
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,OVERALL,ALL SEXES,350252,3073,2241,813,6202,599,1596,436,328432,2911,3949
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,OVERALL,MALE,174877,1584,1255,432,3333,308,774,281,163369,1465,2076
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,OVERALL,FEMALE,175375,1489,986,381,2869,291,822,155,165063,1446,1873
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,OVERALL,TRANSGENDER,,,,,,,,,,,
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,RURAL,ALL SEXES,301937,1741,787,518,2237,488,1274,173,288403,2655,3661
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,RURAL,MALE,150261,873,395,261,1215,252,609,117,143307,1332,1900
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,RURAL,FEMALE,151676,868,392,257,1022,236,665,56,145096,1323,1761
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,RURAL,TRANSGENDER,,,,,,,,,,,
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,URBAN,ALL SEXES,48315,1332,1454,295,3965,111,322,263,40029,256,288
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,URBAN,MALE,24616,711,860,171,2118,56,165,164,20062,133,176
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,URBAN,FEMALE,23699,621,594,124,1847,55,157,99,19967,123,112
ABBOTTABAD DISTRICT,HAVELIAN TEHSIL,URBAN,TRANSGENDER,,,,,,,,,,,
BATAGRAM DISTRICT,ALLAI TEHSIL,OVERALL,ALL SEXES,180502,484,40,71,159465,43,154,146,1073,178,18848
BATAGRAM DISTRICT,ALLAI TEHSIL,OVERALL,MALE,90363,242,20,41,79746,25,80,68,540,86,9515
BATAGRAM DISTRICT,ALLAI TEHSIL,OVERALL,FEMALE,90127,242,20,30,79707,18,74,78,533,92,9333
BATAGRAM DISTRICT,ALLAI TEHSIL,OVERALL,TRANSGENDER,12,,,,12,,,,,,
BATAGRAM DISTRICT,ALLAI TEHSIL,RURAL,ALL SEXES,180502,484,40,71,159465,43,154,146,1073,178,18848
BATAGRAM DISTRICT,ALLAI TEHSIL,RURAL,MALE,90363,242,20,41,79746,25,80,68,540,86,9515
BATAGRAM DISTRICT,ALLAI TEHSIL,RURAL,FEMALE,90127,242,20,30,79707,18,74,78,533,92,9333
BATAGRAM DISTRICT,ALLAI TEHSIL,RURAL,TRANSGENDER,12,,,,12,,,,,,
BATAGRAM DISTRICT,ALLAI TEHSIL,URBAN,ALL SEXES,,,,,,,,,,,
BATAGRAM DISTRICT,ALLAI TEHSIL,URBAN,MALE,,,,,,,,,,,
BATAGRAM DISTRICT,ALLAI TEHSIL,URBAN,FEMALE,,,,,,,,,,,
