district,localities,hhsize,avg_rooms_per_house
AWARAN DISTRICT,RURAL,1 PERSON,1.6
AWARAN DISTRICT,RURAL,2 PERSONS,1.82
AWARAN DISTRICT,RURAL,3 PERSONS,2.04
AWARAN DISTRICT,RURAL,4 PERSONS,2.19
AWARAN DISTRICT,RURAL,5 PERSONS,2.35
AWARAN DISTRICT,RURAL,6 PERSONS,2.47
AWARAN DISTRICT,RURAL,7 PERSONS,2.67
AWARAN DISTRICT,RURAL,8 PERSONS,2.82
AWARAN DISTRICT,RURAL,9 PERSONS,2.96
AWARAN DISTRICT,RURAL,10 PERSONS AND ABOVE,4.01
AWARAN DISTRICT,URBAN,1 PERSON,1.94
AWARAN DISTRICT,URBAN,2 PERSONS,1.87
AWARAN DISTRICT,URBAN,3 PERSONS,2.2
AWARAN DISTRICT,URBAN,4 PERSONS,2.32
AWARAN DISTRICT,URBAN,5 PERSONS,2.59
AWARAN DISTRICT,URBAN,6 PERSONS,2.71
AWARAN DISTRICT,URBAN,7 PERSONS,3.03
AWARAN DISTRICT,URBAN,8 PERSONS,3.17
AWARAN DISTRICT,URBAN,9 PERSONS,3.41
AWARAN DISTRICT,URBAN,10 PERSONS AND ABOVE,5.18
BADIN DISTRICT,RURAL,1 PERSON,1.14
BADIN DISTRICT,RURAL,2 PERSONS,1.15
BADIN DISTRICT,RURAL,3 PERSONS,1.17
BADIN DISTRICT,RURAL,4 PERSONS,1.19
BADIN DISTRICT,RURAL,5 PERSONS,1.22
BADIN DISTRICT,RURAL,6 PERSONS,1.24
BADIN DISTRICT,RURAL,7 PERSONS,1.28
BADIN DISTRICT,RURAL,8 PERSONS,1.32
BADIN DISTRICT,RURAL,9 PERSONS,1.39
BADIN DISTRICT,RURAL,10 PERSONS AND ABOVE,1.61
BADIN DISTRICT,URBAN,1 PERSON,1.3
BADIN DISTRICT,URBAN,2 PERSONS,1.29
BADIN DISTRICT,URBAN,3 PERSONS,1.37
BADIN DISTRICT,URBAN,4 PERSONS,1.42
BADIN DISTRICT,URBAN,5 PERSONS,1.48
BADIN DISTRICT,URBAN,6 PERSONS,1.54
BADIN DISTRICT,URBAN,7 PERSONS,1.61
BADIN DISTRICT,URBAN,8 PERSONS,1.63
BADIN DISTRICT,URBAN,9 PERSONS,1.74
BADIN DISTRICT,URBAN,10 PERSONS AND ABOVE,2.1
BAHAWALNAGAR DISTRICT,RURAL,1 PERSON,1.71
BAHAWALNAGAR DISTRICT,RURAL,2 PERSONS,1.75
BAHAWALNAGAR DISTRICT,RURAL,3 PERSONS,1.89
BAHAWALNAGAR DISTRICT,RURAL,4 PERSONS,2.03
BAHAWALNAGAR DISTRICT,RURAL,5 PERSONS,2.19
BAHAWALNAGAR DISTRICT,RURAL,6 PERSONS,2.3
BAHAWALNAGAR DISTRICT,RURAL,7 PERSONS,2.41
BAHAWALNAGAR DISTRICT,RURAL,8 PERSONS,2.53
BAHAWALNAGAR DISTRICT,RURAL,9 PERSONS,2.7
BAHAWALNAGAR DISTRICT,RURAL,10 PERSONS AND ABOVE,3.38
BAHAWALNAGAR DISTRICT,URBAN,1 PERSON,2.11
BAHAWALNAGAR DISTRICT,URBAN,2 PERSONS,2.1
BAHAWALNAGAR DISTRICT,URBAN,3 PERSONS,2.22
BAHAWALNAGAR DISTRICT,URBAN,4 PERSONS,2.36
BAHAWALNAGAR DISTRICT,URBAN,5 PERSONS,2.54
BAHAWALNAGAR DISTRICT,URBAN,6 PERSONS,2.6
BAHAWALNAGAR DISTRICT,URBAN,7 PERSONS,2.67
BAHAWALNAGAR DISTRICT,URBAN,8 PERSONS,2.82
BAHAWALNAGAR DISTRICT,URBAN,9 PERSONS,2.98
BAHAWALNAGAR DISTRICT,URBAN,10 PERSONS AND ABOVE,3.64
BAHAWALPUR DISTRICT,RURAL,1 PERSON,1.54
BAHAWALPUR DISTRICT,RURAL,2 PERSONS,1.54
BAHAWALPUR DISTRICT,RURAL,3 PERSONS,1.68
BAHAWALPUR DISTRICT,RURAL,4 PERSONS,1.85
BAHAWALPUR DISTRICT,RURAL,5 PERSONS,2.01
BAHAWALPUR DISTRICT,RURAL,6 PERSONS,2.11
BAHAWALPUR DISTRICT,RURAL,7 PERSONS,2.23
BAHAWALPUR DISTRICT,RURAL,8 PERSONS,2.37
BAHAWALPUR DISTRICT,RURAL,9 PERSONS,2.53
BAHAWALPUR DISTRICT,RURAL,10 PERSONS AND ABOVE,3.27
BAHAWALPUR DISTRICT,URBAN,1 PERSON,1.97
BAHAWALPUR DISTRICT,URBAN,2 PERSONS,2.04
BAHAWALPUR DISTRICT,URBAN,3 PERSONS,2.18
BAHAWALPUR DISTRICT,URBAN,4 PERSONS,2.36
BAHAWALPUR DISTRICT,URBAN,5 PERSONS,2.53
BAHAWALPUR DISTRICT,URBAN,6 PERSONS,2.61
BAHAWALPUR DISTRICT,URBAN,7 PERSONS,2.68
BAHAWALPUR DISTRICT,URBAN,8 PERSONS,2.8
BAHAWALPUR DISTRICT,URBAN,9 PERSONS,2.98
BAHAWALPUR DISTRICT,URBAN,10 PERSONS AND ABOVE,3.67
BAJAUR AGENCY,RURAL,1 PERSON,2.67
BAJAUR AGENCY,RURAL,2 PERSONS,1.95
BAJAUR AGENCY,RURAL,3 PERSONS,2.04
BAJAUR AGENCY,RURAL,4 PERSONS,2.13
BAJAUR AGENCY,RURAL,5 PERSONS,2.32
BAJAUR AGENCY,RURAL,6 PERSONS,2.49
BAJAUR AGENCY,RURAL,7 PERSONS,2.65
BAJAUR AGENCY,RURAL,8 PERSONS,2.89
BAJAUR AGENCY,RURAL,9 PERSONS,3.15
BAJAUR AGENCY,RURAL,10 PERSONS AND ABOVE,4.22
BAJAUR AGENCY,URBAN,1 PERSON,
BAJAUR AGENCY,URBAN,2 PERSONS,
BAJAUR AGENCY,URBAN,3 PERSONS,
BAJAUR AGENCY,URBAN,4 PERSONS,
BAJAUR AGENCY,URBAN,5 PERSONS,
BAJAUR AGENCY,URBAN,6 PERSONS,
BAJAUR AGENCY,URBAN,7 PERSONS,
BAJAUR AGENCY,URBAN,8 PERSONS,
BAJAUR AGENCY,URBAN,9 PERSONS,
BAJAUR AGENCY,URBAN,10 PERSONS AND ABOVE,
BANNU DISTRICT,RURAL,1 PERSON,2.11
BANNU DISTRICT,RURAL,2 PERSONS,1.9
BANNU DISTRICT,RURAL,3 PERSONS,2.09
BANNU DISTRICT,RURAL,4 PERSONS,2.24
BANNU DISTRICT,RURAL,5 PERSONS,2.41
BANNU DISTRICT,RURAL,6 PERSONS,2.57
BANNU DISTRICT,RURAL,7 PERSONS,2.79
BANNU DISTRICT,RURAL,8 PERSONS,2.98
BANNU DISTRICT,RURAL,9 PERSONS,3.19
BANNU DISTRICT,RURAL,10 PERSONS AND ABOVE,4.53
BANNU DISTRICT,URBAN,1 PERSON,2.64
BANNU DISTRICT,URBAN,2 PERSONS,2.78
BANNU DISTRICT,URBAN,3 PERSONS,2.75
BANNU DISTRICT,URBAN,4 PERSONS,2.99
BANNU DISTRICT,URBAN,5 PERSONS,3.17
BANNU DISTRICT,URBAN,6 PERSONS,3.34
BANNU DISTRICT,URBAN,7 PERSONS,3.32
BANNU DISTRICT,URBAN,8 PERSONS,3.61
BANNU DISTRICT,URBAN,9 PERSONS,3.79
BANNU DISTRICT,URBAN,10 PERSONS AND ABOVE,4.77
BARKHAN DISTRICT,RURAL,1 PERSON,1.6
BARKHAN DISTRICT,RURAL,2 PERSONS,1.88
BARKHAN DISTRICT,RURAL,3 PERSONS,2.03
BARKHAN DISTRICT,RURAL,4 PERSONS,2.24
BARKHAN DISTRICT,RURAL,5 PERSONS,2.36
BARKHAN DISTRICT,RURAL,6 PERSONS,2.55
BARKHAN DISTRICT,RURAL,7 PERSONS,2.71
BARKHAN DISTRICT,RURAL,8 PERSONS,2.92
BARKHAN DISTRICT,RURAL,9 PERSONS,3.19
BARKHAN DISTRICT,RURAL,10 PERSONS AND ABOVE,3.78
BARKHAN DISTRICT,URBAN,1 PERSON,2.08
BARKHAN DISTRICT,URBAN,2 PERSONS,2.33
BARKHAN DISTRICT,URBAN,3 PERSONS,2.38
BARKHAN DISTRICT,URBAN,4 PERSONS,2.37
BARKHAN DISTRICT,URBAN,5 PERSONS,2.27
BARKHAN DISTRICT,URBAN,6 PERSONS,2.64
BARKHAN DISTRICT,URBAN,7 PERSONS,2.57
BARKHAN DISTRICT,URBAN,8 PERSONS,2.78
BARKHAN DISTRICT,URBAN,9 PERSONS,3.05
BARKHAN DISTRICT,URBAN,10 PERSONS AND ABOVE,3.73
BATAGRAM DISTRICT,RURAL,1 PERSON,1.65
BATAGRAM DISTRICT,RURAL,2 PERSONS,1.74
BATAGRAM DISTRICT,RURAL,3 PERSONS,1.89
BATAGRAM DISTRICT,RURAL,4 PERSONS,2.01
BATAGRAM DISTRICT,RURAL,5 PERSONS,2.19
BATAGRAM DISTRICT,RURAL,6 PERSONS,2.34
BATAGRAM DISTRICT,RURAL,7 PERSONS,2.5
BATAGRAM DISTRICT,RURAL,8 PERSONS,2.64
BATAGRAM DISTRICT,RURAL,9 PERSONS,2.83
BATAGRAM DISTRICT,RURAL,10 PERSONS AND ABOVE,3.65
BATAGRAM DISTRICT,URBAN,1 PERSON,
BATAGRAM DISTRICT,URBAN,2 PERSONS,
BATAGRAM DISTRICT,URBAN,3 PERSONS,
BATAGRAM DISTRICT,URBAN,4 PERSONS,
BATAGRAM DISTRICT,URBAN,5 PERSONS,
BATAGRAM DISTRICT,URBAN,6 PERSONS,
BATAGRAM DISTRICT,URBAN,7 PERSONS,
BATAGRAM DISTRICT,URBAN,8 PERSONS,
BATAGRAM DISTRICT,URBAN,9 PERSONS,
BATAGRAM DISTRICT,URBAN,10 PERSONS AND ABOVE,
BHAKKAR DISTRICT,RURAL,1 PERSON,1.67
BHAKKAR DISTRICT,RURAL,2 PERSONS,1.69
BHAKKAR DISTRICT,RURAL,3 PERSONS,1.84
BHAKKAR DISTRICT,RURAL,4 PERSONS,2.01
BHAKKAR DISTRICT,RURAL,5 PERSONS,2.2
BHAKKAR DISTRICT,RURAL,6 PERSONS,2.34
BHAKKAR DISTRICT,RURAL,7 PERSONS,2.51
BHAKKAR DISTRICT,RURAL,8 PERSONS,2.67
BHAKKAR DISTRICT,RURAL,9 PERSONS,2.86
BHAKKAR DISTRICT,RURAL,10 PERSONS AND ABOVE,3.65
BHAKKAR DISTRICT,URBAN,1 PERSON,2.13
BHAKKAR DISTRICT,URBAN,2 PERSONS,1.98
BHAKKAR DISTRICT,URBAN,3 PERSONS,2.1
BHAKKAR DISTRICT,URBAN,4 PERSONS,2.31
BHAKKAR DISTRICT,URBAN,5 PERSONS,2.51
BHAKKAR DISTRICT,URBAN,6 PERSONS,2.66
BHAKKAR DISTRICT,URBAN,7 PERSONS,2.77
BHAKKAR DISTRICT,URBAN,8 PERSONS,2.91
BHAKKAR DISTRICT,URBAN,9 PERSONS,3.1
BHAKKAR DISTRICT,URBAN,10 PERSONS AND ABOVE,3.87
BUNNER DISTRICT,RURAL,1 PERSON,1.77
BUNNER DISTRICT,RURAL,2 PERSONS,1.8
BUNNER DISTRICT,RURAL,3 PERSONS,1.88
BUNNER DISTRICT,RURAL,4 PERSONS,1.99
BUNNER DISTRICT,RURAL,5 PERSONS,2.17
BUNNER DISTRICT,RURAL,6 PERSONS,2.31
BUNNER DISTRICT,RURAL,7 PERSONS,2.49
BUNNER DISTRICT,RURAL,8 PERSONS,2.61
BUNNER DISTRICT,RURAL,9 PERSONS,2.84
BUNNER DISTRICT,RURAL,10 PERSONS AND ABOVE,4.01
BUNNER DISTRICT,URBAN,1 PERSON,
BUNNER DISTRICT,URBAN,2 PERSONS,
BUNNER DISTRICT,URBAN,3 PERSONS,
BUNNER DISTRICT,URBAN,4 PERSONS,
BUNNER DISTRICT,URBAN,5 PERSONS,
BUNNER DISTRICT,URBAN,6 PERSONS,
BUNNER DISTRICT,URBAN,7 PERSONS,
BUNNER DISTRICT,URBAN,8 PERSONS,
BUNNER DISTRICT,URBAN,9 PERSONS,
BUNNER DISTRICT,URBAN,10 PERSONS AND ABOVE,
CHAGAI DISTRICT,RURAL,1 PERSON,1.39
CHAGAI DISTRICT,RURAL,2 PERSONS,1.56
CHAGAI DISTRICT,RURAL,3 PERSONS,1.77
CHAGAI DISTRICT,RURAL,4 PERSONS,1.97
CHAGAI DISTRICT,RURAL,5 PERSONS,2.13
CHAGAI DISTRICT,RURAL,6 PERSONS,2.31
CHAGAI DISTRICT,RURAL,7 PERSONS,2.49
CHAGAI DISTRICT,RURAL,8 PERSONS,2.69
CHAGAI DISTRICT,RURAL,9 PERSONS,2.92
CHAGAI DISTRICT,RURAL,10 PERSONS AND ABOVE,3.58
CHAGAI DISTRICT,URBAN,1 PERSON,2.78
CHAGAI DISTRICT,URBAN,2 PERSONS,2.1
CHAGAI DISTRICT,URBAN,3 PERSONS,2.24
CHAGAI DISTRICT,URBAN,4 PERSONS,2.48
CHAGAI DISTRICT,URBAN,5 PERSONS,2.82
CHAGAI DISTRICT,URBAN,6 PERSONS,2.79
CHAGAI DISTRICT,URBAN,7 PERSONS,3.13
CHAGAI DISTRICT,URBAN,8 PERSONS,3.42
CHAGAI DISTRICT,URBAN,9 PERSONS,3.76
CHAGAI DISTRICT,URBAN,10 PERSONS AND ABOVE,4.49
CHAKWAL DISTRICT,RURAL,1 PERSON,2.4
CHAKWAL DISTRICT,RURAL,2 PERSONS,2.63
CHAKWAL DISTRICT,RURAL,3 PERSONS,2.79
CHAKWAL DISTRICT,RURAL,4 PERSONS,2.92
CHAKWAL DISTRICT,RURAL,5 PERSONS,3.04
CHAKWAL DISTRICT,RURAL,6 PERSONS,3.19
CHAKWAL DISTRICT,RURAL,7 PERSONS,3.39
CHAKWAL DISTRICT,RURAL,8 PERSONS,3.64
CHAKWAL DISTRICT,RURAL,9 PERSONS,3.89
CHAKWAL DISTRICT,RURAL,10 PERSONS AND ABOVE,4.54
CHAKWAL DISTRICT,URBAN,1 PERSON,2.27
CHAKWAL DISTRICT,URBAN,2 PERSONS,2.47
CHAKWAL DISTRICT,URBAN,3 PERSONS,2.61
CHAKWAL DISTRICT,URBAN,4 PERSONS,2.72
CHAKWAL DISTRICT,URBAN,5 PERSONS,2.83
CHAKWAL DISTRICT,URBAN,6 PERSONS,2.97
CHAKWAL DISTRICT,URBAN,7 PERSONS,3.14
CHAKWAL DISTRICT,URBAN,8 PERSONS,3.36
CHAKWAL DISTRICT,URBAN,9 PERSONS,3.44
CHAKWAL DISTRICT,URBAN,10 PERSONS AND ABOVE,4.17
CHARSADDA  DISTRICT,RURAL,1 PERSON,1.86
CHARSADDA  DISTRICT,RURAL,2 PERSONS,1.69
CHARSADDA  DISTRICT,RURAL,3 PERSONS,1.82
CHARSADDA  DISTRICT,RURAL,4 PERSONS,1.92
CHARSADDA  DISTRICT,RURAL,5 PERSONS,2.02
CHARSADDA  DISTRICT,RURAL,6 PERSONS,2.17
CHARSADDA  DISTRICT,RURAL,7 PERSONS,2.31
CHARSADDA  DISTRICT,RURAL,8 PERSONS,2.47
CHARSADDA  DISTRICT,RURAL,9 PERSONS,2.7
CHARSADDA  DISTRICT,RURAL,10 PERSONS AND ABOVE,3.69
CHARSADDA  DISTRICT,URBAN,1 PERSON,1.96
CHARSADDA  DISTRICT,URBAN,2 PERSONS,1.74
CHARSADDA  DISTRICT,URBAN,3 PERSONS,1.84
CHARSADDA  DISTRICT,URBAN,4 PERSONS,1.98
CHARSADDA  DISTRICT,URBAN,5 PERSONS,2.15
CHARSADDA  DISTRICT,URBAN,6 PERSONS,2.25
CHARSADDA  DISTRICT,URBAN,7 PERSONS,2.37
CHARSADDA  DISTRICT,URBAN,8 PERSONS,2.58
CHARSADDA  DISTRICT,URBAN,9 PERSONS,2.8
CHARSADDA  DISTRICT,URBAN,10 PERSONS AND ABOVE,3.76
CHINIOT DISTRICT,RURAL,1 PERSON,1.7
CHINIOT DISTRICT,RURAL,2 PERSONS,1.7
CHINIOT DISTRICT,RURAL,3 PERSONS,1.86
CHINIOT DISTRICT,RURAL,4 PERSONS,1.97
CHINIOT DISTRICT,RURAL,5 PERSONS,2.09
CHINIOT DISTRICT,RURAL,6 PERSONS,2.22
CHINIOT DISTRICT,RURAL,7 PERSONS,2.33
CHINIOT DISTRICT,RURAL,8 PERSONS,2.49
CHINIOT DISTRICT,RURAL,9 PERSONS,2.7
CHINIOT DISTRICT,RURAL,10 PERSONS AND ABOVE,3.38
CHINIOT DISTRICT,URBAN,1 PERSON,2.19
CHINIOT DISTRICT,URBAN,2 PERSONS,2.15
CHINIOT DISTRICT,URBAN,3 PERSONS,2.2
CHINIOT DISTRICT,URBAN,4 PERSONS,2.31
CHINIOT DISTRICT,URBAN,5 PERSONS,2.39
CHINIOT DISTRICT,URBAN,6 PERSONS,2.47
CHINIOT DISTRICT,URBAN,7 PERSONS,2.55
CHINIOT DISTRICT,URBAN,8 PERSONS,2.69
CHINIOT DISTRICT,URBAN,9 PERSONS,2.84
CHINIOT DISTRICT,URBAN,10 PERSONS AND ABOVE,3.54
CHITRAL DISTRICT,RURAL,1 PERSON,2.35
CHITRAL DISTRICT,RURAL,2 PERSONS,2.45
CHITRAL DISTRICT,RURAL,3 PERSONS,2.78
CHITRAL DISTRICT,RURAL,4 PERSONS,2.99
CHITRAL DISTRICT,RURAL,5 PERSONS,3.2
CHITRAL DISTRICT,RURAL,6 PERSONS,3.35
CHITRAL DISTRICT,RURAL,7 PERSONS,3.51
CHITRAL DISTRICT,RURAL,8 PERSONS,3.6
CHITRAL DISTRICT,RURAL,9 PERSONS,3.78
CHITRAL DISTRICT,RURAL,10 PERSONS AND ABOVE,4.31
CHITRAL DISTRICT,URBAN,1 PERSON,2.23
CHITRAL DISTRICT,URBAN,2 PERSONS,2.88
CHITRAL DISTRICT,URBAN,3 PERSONS,3.16
CHITRAL DISTRICT,URBAN,4 PERSONS,3.43
CHITRAL DISTRICT,URBAN,5 PERSONS,3.67
CHITRAL DISTRICT,URBAN,6 PERSONS,3.85
CHITRAL DISTRICT,URBAN,7 PERSONS,4.04
CHITRAL DISTRICT,URBAN,8 PERSONS,4.31
CHITRAL DISTRICT,URBAN,9 PERSONS,4.6
CHITRAL DISTRICT,URBAN,10 PERSONS AND ABOVE,5
DADU DISTRICT,RURAL,1 PERSON,1.17
DADU DISTRICT,RURAL,2 PERSONS,1.2
DADU DISTRICT,RURAL,3 PERSONS,1.25
DADU DISTRICT,RURAL,4 PERSONS,1.28
DADU DISTRICT,RURAL,5 PERSONS,1.33
DADU DISTRICT,RURAL,6 PERSONS,1.37
DADU DISTRICT,RURAL,7 PERSONS,1.43
DADU DISTRICT,RURAL,8 PERSONS,1.49
DADU DISTRICT,RURAL,9 PERSONS,1.55
DADU DISTRICT,RURAL,10 PERSONS AND ABOVE,1.82
DADU DISTRICT,URBAN,1 PERSON,1.55
DADU DISTRICT,URBAN,2 PERSONS,1.58
DADU DISTRICT,URBAN,3 PERSONS,1.65
DADU DISTRICT,URBAN,4 PERSONS,1.71
DADU DISTRICT,URBAN,5 PERSONS,1.83
DADU DISTRICT,URBAN,6 PERSONS,1.91
DADU DISTRICT,URBAN,7 PERSONS,1.97
DADU DISTRICT,URBAN,8 PERSONS,2.06
DADU DISTRICT,URBAN,9 PERSONS,2.13
DADU DISTRICT,URBAN,10 PERSONS AND ABOVE,2.47
DERA BUGTI DISTRICT,RURAL,1 PERSON,1.57
DERA BUGTI DISTRICT,RURAL,2 PERSONS,1.69
DERA BUGTI DISTRICT,RURAL,3 PERSONS,1.77
DERA BUGTI DISTRICT,RURAL,4 PERSONS,1.89
DERA BUGTI DISTRICT,RURAL,5 PERSONS,1.98
DERA BUGTI DISTRICT,RURAL,6 PERSONS,2.04
DERA BUGTI DISTRICT,RURAL,7 PERSONS,2.15
DERA BUGTI DISTRICT,RURAL,8 PERSONS,2.26
DERA BUGTI DISTRICT,RURAL,9 PERSONS,2.46
DERA BUGTI DISTRICT,RURAL,10 PERSONS AND ABOVE,2.65
DERA BUGTI DISTRICT,URBAN,1 PERSON,1.96
DERA BUGTI DISTRICT,URBAN,2 PERSONS,1.38
DERA BUGTI DISTRICT,URBAN,3 PERSONS,1.45
DERA BUGTI DISTRICT,URBAN,4 PERSONS,1.6
DERA BUGTI DISTRICT,URBAN,5 PERSONS,1.67
DERA BUGTI DISTRICT,URBAN,6 PERSONS,1.77
DERA BUGTI DISTRICT,URBAN,7 PERSONS,1.88
DERA BUGTI DISTRICT,URBAN,8 PERSONS,2.03
DERA BUGTI DISTRICT,URBAN,9 PERSONS,2.14
DERA BUGTI DISTRICT,URBAN,10 PERSONS AND ABOVE,2.74
DERA GHAZI KHAN DISTRICT,RURAL,1 PERSON,1.6
DERA GHAZI KHAN DISTRICT,RURAL,2 PERSONS,1.51
DERA GHAZI KHAN DISTRICT,RURAL,3 PERSONS,1.65
DERA GHAZI KHAN DISTRICT,RURAL,4 PERSONS,1.79
DERA GHAZI KHAN DISTRICT,RURAL,5 PERSONS,1.94
DERA GHAZI KHAN DISTRICT,RURAL,6 PERSONS,2.06
DERA GHAZI KHAN DISTRICT,RURAL,7 PERSONS,2.21
DERA GHAZI KHAN DISTRICT,RURAL,8 PERSONS,2.38
DERA GHAZI KHAN DISTRICT,RURAL,9 PERSONS,2.57
DERA GHAZI KHAN DISTRICT,RURAL,10 PERSONS AND ABOVE,3.69
DERA GHAZI KHAN DISTRICT,URBAN,1 PERSON,2.06
DERA GHAZI KHAN DISTRICT,URBAN,2 PERSONS,2.1
DERA GHAZI KHAN DISTRICT,URBAN,3 PERSONS,2.2
DERA GHAZI KHAN DISTRICT,URBAN,4 PERSONS,2.37
DERA GHAZI KHAN DISTRICT,URBAN,5 PERSONS,2.48
DERA GHAZI KHAN DISTRICT,URBAN,6 PERSONS,2.55
DERA GHAZI KHAN DISTRICT,URBAN,7 PERSONS,2.69
DERA GHAZI KHAN DISTRICT,URBAN,8 PERSONS,2.84
DERA GHAZI KHAN DISTRICT,URBAN,9 PERSONS,3.02
DERA GHAZI KHAN DISTRICT,URBAN,10 PERSONS AND ABOVE,3.89
DERA ISMAIL KHAN DISTRICT,RURAL,1 PERSON,1.68
DERA ISMAIL KHAN DISTRICT,RURAL,2 PERSONS,1.62
DERA ISMAIL KHAN DISTRICT,RURAL,3 PERSONS,1.73
DERA ISMAIL KHAN DISTRICT,RURAL,4 PERSONS,1.88
DERA ISMAIL KHAN DISTRICT,RURAL,5 PERSONS,2.08
DERA ISMAIL KHAN DISTRICT,RURAL,6 PERSONS,2.25
DERA ISMAIL KHAN DISTRICT,RURAL,7 PERSONS,2.44
DERA ISMAIL KHAN DISTRICT,RURAL,8 PERSONS,2.65
DERA ISMAIL KHAN DISTRICT,RURAL,9 PERSONS,2.85
DERA ISMAIL KHAN DISTRICT,RURAL,10 PERSONS AND ABOVE,4.01
DERA ISMAIL KHAN DISTRICT,URBAN,1 PERSON,1.76
DERA ISMAIL KHAN DISTRICT,URBAN,2 PERSONS,1.96
DERA ISMAIL KHAN DISTRICT,URBAN,3 PERSONS,2.13
DERA ISMAIL KHAN DISTRICT,URBAN,4 PERSONS,2.27
DERA ISMAIL KHAN DISTRICT,URBAN,5 PERSONS,2.44
DERA ISMAIL KHAN DISTRICT,URBAN,6 PERSONS,2.59
DERA ISMAIL KHAN DISTRICT,URBAN,7 PERSONS,2.72
DERA ISMAIL KHAN DISTRICT,URBAN,8 PERSONS,2.85
DERA ISMAIL KHAN DISTRICT,URBAN,9 PERSONS,3.08
DERA ISMAIL KHAN DISTRICT,URBAN,10 PERSONS AND ABOVE,4.06
FAISALABAD DISTRICT,RURAL,1 PERSON,1.83
FAISALABAD DISTRICT,RURAL,2 PERSONS,1.91
FAISALABAD DISTRICT,RURAL,3 PERSONS,2.07
FAISALABAD DISTRICT,RURAL,4 PERSONS,2.21
FAISALABAD DISTRICT,RURAL,5 PERSONS,2.34
FAISALABAD DISTRICT,RURAL,6 PERSONS,2.45
FAISALABAD DISTRICT,RURAL,7 PERSONS,2.57
FAISALABAD DISTRICT,RURAL,8 PERSONS,2.73
FAISALABAD DISTRICT,RURAL,9 PERSONS,2.94
FAISALABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,3.67
FAISALABAD DISTRICT,URBAN,1 PERSON,1.94
FAISALABAD DISTRICT,URBAN,2 PERSONS,2.02
FAISALABAD DISTRICT,URBAN,3 PERSONS,2.13
FAISALABAD DISTRICT,URBAN,4 PERSONS,2.29
FAISALABAD DISTRICT,URBAN,5 PERSONS,2.43
FAISALABAD DISTRICT,URBAN,6 PERSONS,2.55
FAISALABAD DISTRICT,URBAN,7 PERSONS,2.67
FAISALABAD DISTRICT,URBAN,8 PERSONS,2.84
FAISALABAD DISTRICT,URBAN,9 PERSONS,3.06
FAISALABAD DISTRICT,URBAN,10 PERSONS AND ABOVE,3.79
FR BANNU,RURAL,1 PERSON,2.26
FR BANNU,RURAL,2 PERSONS,2.47
FR BANNU,RURAL,3 PERSONS,2.88
FR BANNU,RURAL,4 PERSONS,2.82
FR BANNU,RURAL,5 PERSONS,3.07
FR BANNU,RURAL,6 PERSONS,3.24
